consumption_ID;country_ID;year_ID;category_ID;consumption_MEUR
EU16_C03;EU;16;C03;325542.7
EU17_C03;EU;17;C03;335787.8
EU18_C03;EU;18;C03;337950.2
EU19_C03;EU;19;C03;338645.6
EU20_C03;EU;20;C03;286504.7
EU21_C03;EU;21;C03;311493.9
EU22_C03;EU;22;C03;349882.9
EU23_C03;EU;23;C03;357288.1
BE10_C03;BE;10;C03;8185.4
BE11_C03;BE;11;C03;9040.5
BE12_C03;BE;12;C03;9732.2
BE13_C03;BE;13;C03;10212.1
BE14_C03;BE;14;C03;10578.7
BE15_C03;BE;15;C03;10891.2
BE16_C03;BE;16;C03;11124.2
BE17_C03;BE;17;C03;11945.2
BE18_C03;BE;18;C03;12113.0
BE19_C03;BE;19;C03;12189.7
BE20_C03;BE;20;C03;10284.2
BE21_C03;BE;21;C03;11928.4
BE22_C03;BE;22;C03;13022.6
BE23_C03;BE;23;C03;13526.5
BG10_C03;BG;10;C03;760.3
BG11_C03;BG;11;C03;764.0
BG12_C03;BG;12;C03;817.9
BG13_C03;BG;13;C03;861.8
BG14_C03;BG;14;C03;910.7
BG15_C03;BG;15;C03;927.1
BG16_C03;BG;16;C03;1006.6
BG17_C03;BG;17;C03;1080.3
BG18_C03;BG;18;C03;1122.5
BG19_C03;BG;19;C03;1307.2
BG20_C03;BG;20;C03;1164.5
BG21_C03;BG;21;C03;1495.5
BG22_C03;BG;22;C03;1793.7
BG23_C03;BG;23;C03;2026.5
CZ10_C03;CZ;10;C03;2566.5
CZ11_C03;CZ;11;C03;2611.6
CZ12_C03;CZ;12;C03;2514.5
CZ13_C03;CZ;13;C03;2547.2
CZ14_C03;CZ;14;C03;2607.5
CZ15_C03;CZ;15;C03;2754.8
CZ16_C03;CZ;16;C03;3103.0
CZ17_C03;CZ;17;C03;3571.4
CZ18_C03;CZ;18;C03;3752.0
CZ19_C03;CZ;19;C03;3998.6
CZ20_C03;CZ;20;C03;3469.6
CZ21_C03;CZ;21;C03;3841.5
CZ22_C03;CZ;22;C03;5031.5
CZ23_C03;CZ;23;C03;5286.1
DK10_C03;DK;10;C03;5137.7
DK11_C03;DK;11;C03;5031.7
DK12_C03;DK;12;C03;5324.8
DK13_C03;DK;13;C03;5300.3
DK14_C03;DK;14;C03;5406.6
DK15_C03;DK;15;C03;5487.1
DK16_C03;DK;16;C03;5637.1
DK17_C03;DK;17;C03;5749.9
DK18_C03;DK;18;C03;5935.0
DK19_C03;DK;19;C03;5972.9
DK20_C03;DK;20;C03;5907.9
DK21_C03;DK;21;C03;6084.5
DK22_C03;DK;22;C03;6780.8
DK23_C03;DK;23;C03;6418.7
DE10_C03;DE;10;C03;66939.0
DE11_C03;DE;11;C03;69992.0
DE12_C03;DE;12;C03;71977.0
DE13_C03;DE;13;C03;73875.0
DE14_C03;DE;14;C03;75098.0
DE15_C03;DE;15;C03;75354.0
DE16_C03;DE;16;C03;77710.0
DE17_C03;DE;17;C03;80573.0
DE18_C03;DE;18;C03;79972.0
DE19_C03;DE;19;C03;77934.0
DE20_C03;DE;20;C03;73654.0
DE21_C03;DE;21;C03;73043.0
DE22_C03;DE;22;C03;75080.0
DE23_C03;DE;23;C03;77490.0
EE10_C03;EE;10;C03;482.5
EE11_C03;EE;11;C03;522.7
EE12_C03;EE;12;C03;599.0
EE13_C03;EE;13;C03;653.6
EE14_C03;EE;14;C03;690.5
EE15_C03;EE;15;C03;722.7
EE16_C03;EE;16;C03;780.9
EE17_C03;EE;17;C03;787.4
EE18_C03;EE;18;C03;828.9
EE19_C03;EE;19;C03;855.1
EE20_C03;EE;20;C03;799.2
EE21_C03;EE;21;C03;915.6
EE22_C03;EE;22;C03;1068.0
EE23_C03;EE;23;C03;1120.8
IE10_C03;IE;10;C03;3137.0
IE11_C03;IE;11;C03;2983.6
IE12_C03;IE;12;C03;3030.9
IE13_C03;IE;13;C03;3023.0
IE14_C03;IE;14;C03;3141.9
IE15_C03;IE;15;C03;3388.5
IE16_C03;IE;16;C03;3450.1
IE17_C03;IE;17;C03;3588.0
IE18_C03;IE;18;C03;3870.6
IE19_C03;IE;19;C03;4082.1
IE20_C03;IE;20;C03;3641.8
IE21_C03;IE;21;C03;4904.1
IE22_C03;IE;22;C03;5467.8
IE23_C03;IE;23;C03;5354.6
ES10_C03;ES;10;C03;31646.0
ES11_C03;ES;11;C03;30247.0
ES12_C03;ES;12;C03;27938.0
ES13_C03;ES;13;C03;27142.0
ES14_C03;ES;14;C03;28198.0
ES15_C03;ES;15;C03;28964.0
ES16_C03;ES;16;C03;29912.0
ES17_C03;ES;17;C03;30319.0
ES18_C03;ES;18;C03;29439.0
ES19_C03;ES;19;C03;29459.0
ES20_C03;ES;20;C03;19964.0
ES21_C03;ES;21;C03;23649.0
ES22_C03;ES;22;C03;27101.0
ES23_C03;ES;23;C03;29430.0
FR10_C03;FR;10;C03;46394.2
FR11_C03;FR;11;C03;46064.0
FR12_C03;FR;12;C03;45979.2
FR13_C03;FR;13;C03;45898.6
FR14_C03;FR;14;C03;46179.3
FR15_C03;FR;15;C03;46376.8
