income_ID;country_ID;year_ID;age_ID;gender_ID;median_income_MEUR
IT18_A25_F;IT;18;A25;F;16311.0
IT19_A25_F;IT;19;A25;F;16801.0
IT20_A25_F;IT;20;A25;F;17733.0
IT21_A25_F;IT;21;A25;F;16950.0
IT22_A25_F;IT;22;A25;F;18092.0
IT23_A25_F;IT;23;A25;F;19500.0
IT24_A25_F;IT;24;A25;F;20304.0
CY15_A25_F;CY;15;A25;F;14450.0
CY16_A25_F;CY;16;A25;F;14681.0
CY17_A25_F;CY;17;A25;F;15193.0
CY18_A25_F;CY;18;A25;F;15813.0
CY19_A25_F;CY;19;A25;F;16994.0
CY20_A25_F;CY;20;A25;F;17324.0
CY21_A25_F;CY;21;A25;F;17363.0
CY22_A25_F;CY;22;A25;F;18769.0
CY23_A25_F;CY;23;A25;F;19923.0
CY24_A25_F;CY;24;A25;F;21577.0
LV15_A25_F;LV;15;A25;F;6692.0
LV16_A25_F;LV;16;A25;F;7395.0
LV17_A25_F;LV;17;A25;F;7995.0
LV18_A25_F;LV;18;A25;F;8812.0
LV19_A25_F;LV;19;A25;F;9799.0
LV20_A25_F;LV;20;A25;F;10196.0
LV21_A25_F;LV;21;A25;F;10878.0
LV22_A25_F;LV;22;A25;F;11565.0
LV23_A25_F;LV;23;A25;F;12860.0
LV24_A25_F;LV;24;A25;F;14755.0
LT15_A25_F;LT;15;A25;F;5964.0
LT16_A25_F;LT;16;A25;F;6552.0
LT17_A25_F;LT;17;A25;F;6863.0
LT18_A25_F;LT;18;A25;F;7778.0
LT19_A25_F;LT;19;A25;F;8486.0
LT20_A25_F;LT;20;A25;F;9679.0
LT21_A25_F;LT;21;A25;F;10982.0
LT22_A25_F;LT;22;A25;F;11624.0
LT23_A25_F;LT;23;A25;F;12980.0
LT24_A25_F;LT;24;A25;F;14697.0
LU15_A25_F;LU;15;A25;F;34919.0
LU16_A25_F;LU;16;A25;F;32106.0
LU17_A25_F;LU;17;A25;F;36241.0
LU18_A25_F;LU;18;A25;F;33289.0
LU19_A25_F;LU;19;A25;F;35366.0
LU20_A25_F;LU;20;A25;F;37291.0
LU21_A25_F;LU;21;A25;F;42546.0
LU22_A25_F;LU;22;A25;F;46014.0
LU23_A25_F;LU;23;A25;F;48290.0
LU24_A25_F;LU;24;A25;F;50769.0
HU15_A25_F;HU;15;A25;F;4722.0
HU16_A25_F;HU;16;A25;F;4999.0
HU17_A25_F;HU;17;A25;F;5178.0
HU18_A25_F;HU;18;A25;F;5584.0
HU19_A25_F;HU;19;A25;F;6103.0
HU20_A25_F;HU;20;A25;F;6910.0
HU21_A25_F;HU;21;A25;F;7130.0
HU22_A25_F;HU;22;A25;F;7206.0
HU23_A25_F;HU;23;A25;F;7981.0
HU24_A25_F;HU;24;A25;F;9283.0
MT15_A25_F;MT;15;A25;F;14835.0
MT16_A25_F;MT;16;A25;F;15161.0
MT17_A25_F;MT;17;A25;F;16661.0
MT18_A25_F;MT;18;A25;F;16878.0
MT19_A25_F;MT;19;A25;F;17429.0
MT20_A25_F;MT;20;A25;F;18009.0
MT21_A25_F;MT;21;A25;F;19262.0
MT22_A25_F;MT;22;A25;F;20033.0
MT23_A25_F;MT;23;A25;F;21349.0
MT24_A25_F;MT;24;A25;F;23099.0
NL15_A25_F;NL;15;A25;F;22572.0
NL16_A25_F;NL;16;A25;F;24106.0
NL17_A25_F;NL;17;A25;F;25304.0
NL18_A25_F;NL;18;A25;F;25857.0
NL19_A25_F;NL;19;A25;F;26557.0
NL20_A25_F;NL;20;A25;F;27773.0
NL21_A25_F;NL;21;A25;F;30493.0
NL22_A25_F;NL;22;A25;F;31959.0
NL23_A25_F;NL;23;A25;F;31547.0
NL24_A25_F;NL;24;A25;F;34689.0
AT15_A25_F;AT;15;A25;F;23055.0
AT16_A25_F;AT;16;A25;F;23787.0
AT17_A25_F;AT;17;A25;F;24795.0
AT18_A25_F;AT;18;A25;F;25025.0
AT19_A25_F;AT;19;A25;F;25640.0
AT20_A25_F;AT;20;A25;F;26792.0
AT21_A25_F;AT;21;A25;F;27422.0
AT22_A25_F;AT;22;A25;F;28176.0
AT23_A25_F;AT;23;A25;F;32412.0
AT24_A25_F;AT;24;A25;F;33329.0
PL15_A25_F;PL;15;A25;F;5823.0
PL16_A25_F;PL;16;A25;F;6238.0
PL17_A25_F;PL;17;A25;F;6346.0
PL18_A25_F;PL;18;A25;F;7010.0
PL19_A25_F;PL;19;A25;F;7708.0
PL20_A25_F;PL;20;A25;F;8591.0
PL21_A25_F;PL;21;A25;F;8871.0
PL22_A25_F;PL;22;A25;F;9593.0
PL23_A25_F;PL;23;A25;F;10704.0
PL24_A25_F;PL;24;A25;F;12624.0
PT15_A25_F;PT;15;A25;F;8857.0
PT16_A25_F;PT;16;A25;F;9126.0
PT17_A25_F;PT;17;A25;F;9404.0
PT18_A25_F;PT;18;A25;F;9733.0
PT19_A25_F;PT;19;A25;F;10378.0
PT20_A25_F;PT;20;A25;F;11100.0
PT21_A25_F;PT;21;A25;F;11590.0
PT22_A25_F;PT;22;A25;F;11400.0
PT23_A25_F;PT;23;A25;F;12378.0
PT24_A25_F;PT;24;A25;F;13334.0
RO15_A25_F;RO;15;A25;F;2405.0
RO16_A25_F;RO;16;A25;F;2581.0
RO17_A25_F;RO;17;A25;F;2907.0
RO18_A25_F;RO;18;A25;F;3665.0
RO19_A25_F;RO;19;A25;F;4251.0
RO20_A25_F;RO;20;A25;F;4894.0
RO21_A25_F;RO;21;A25;F;5549.0
RO22_A25_F;RO;22;A25;F;5979.0
RO23_A25_F;RO;23;A25;F;7057.0
RO24_A25_F;RO;24;A25;F;8494.0
SI15_A25_F;SI;15;A25;F;12784.0
SI16_A25_F;SI;16;A25;F;12792.0
SI17_A25_F;SI;17;A25;F;13137.0
SI18_A25_F;SI;18;A25;F;13776.0
SI19_A25_F;SI;19;A25;F;14720.0
SI20_A25_F;SI;20;A25;F;15403.0
SI21_A25_F;SI;21;A25;F;16382.0
SI22_A25_F;SI;22;A25;F;17539.0
SI23_A25_F;SI;23;A25;F;18806.0
SI24_A25_F;SI;24;A25;F;20701.0
SK15_A25_F;SK;15;A25;F;7163.0
SK16_A25_F;SK;16;A25;F;7237.0
SK17_A25_F;SK;17;A25;F;7456.0
SK18_A25_F;SK;18;A25;F;7852.0
SK19_A25_F;SK;19;A25;F;8446.0
SK20_A25_F;SK;20;A25;F;9083.0
SK21_A25_F;SK;21;A25;F;8780.0
SK22_A25_F;SK;22;A25;F;9067.0
SK23_A25_F;SK;23;A25;F;9282.0
SK24_A25_F;SK;24;A25;F;9994.0
FI15_A25_F;FI;15;A25;F;25969.0
FI16_A25_F;FI;16;A25;F;25390.0
FI17_A25_F;FI;17;A25;F;25581.0
FI18_A25_F;FI;18;A25;F;26268.0
FI19_A25_F;FI;19;A25;F;27219.0
FI20_A25_F;FI;20;A25;F;27399.0
FI21_A25_F;FI;21;A25;F;27613.0
FI22_A25_F;FI;22;A25;F;28686.0
FI23_A25_F;FI;23;A25;F;29808.0
FI24_A25_F;FI;24;A25;F;30800.0
SE15_A25_F;SE;15;A25;F;26690.0
SE16_A25_F;SE;16;A25;F;26255.0
SE17_A25_F;SE;17;A25;F;26802.0
SE18_A25_F;SE;18;A25;F;27037.0
SE19_A25_F;SE;19;A25;F;25261.0
SE20_A25_F;SE;20;A25;F;25497.0
SE21_A25_F;SE;21;A25;F;26644.0
SE22_A25_F;SE;22;A25;F;27885.0
SE23_A25_F;SE;23;A25;F;28281.0
SE24_A25_F;SE;24;A25;F;27778.0
EU15_A25_M;EU;15;A25;M;16020.0
EU16_A25_M;EU;16;A25;M;16524.0
EU17_A25_M;EU;17;A25;M;16975.0
EU18_A25_M;EU;18;A25;M;17525.0
EU19_A25_M;EU;19;A25;M;18095.0
EU20_A25_M;EU;20;A25;M;19235.0
EU21_A25_M;EU;21;A25;M;19301.0
EU22_A25_M;EU;22;A25;M;20163.0
EU23_A25_M;EU;23;A25;M;21707.0
EU24_A25_M;EU;24;A25;M;23088.0
BE15_A25_M;BE;15;A25;M;24398.0
