consumption_ID;country_ID;year_ID;category_ID;KPI_name;value
DE10_C02;DE;10;C02;consumption_MEUR;46639.0
DE11_C02;DE;11;C02;consumption_MEUR;48696.0
DE12_C02;DE;12;C02;consumption_MEUR;50066.0
DE13_C02;DE;13;C02;consumption_MEUR;49779.0
DE14_C02;DE;14;C02;consumption_MEUR;51107.0
DE15_C02;DE;15;C02;consumption_MEUR;53559.0
DE16_C02;DE;16;C02;consumption_MEUR;53750.0
DE17_C02;DE;17;C02;consumption_MEUR;54696.0
DE18_C02;DE;18;C02;consumption_MEUR;55919.0
DE19_C02;DE;19;C02;consumption_MEUR;57958.0
DE20_C02;DE;20;C02;consumption_MEUR;61584.0
DE21_C02;DE;21;C02;consumption_MEUR;63730.0
DE22_C02;DE;22;C02;consumption_MEUR;62265.0
DE23_C02;DE;23;C02;consumption_MEUR;64917.0
EE10_C02;EE;10;C02;consumption_MEUR;689.5
EE11_C02;EE;11;C02;consumption_MEUR;767.9
EE12_C02;EE;12;C02;consumption_MEUR;846.5
EE13_C02;EE;13;C02;consumption_MEUR;899.1
EE14_C02;EE;14;C02;consumption_MEUR;936.4
EE15_C02;EE;15;C02;consumption_MEUR;957.3
EE16_C02;EE;16;C02;consumption_MEUR;948.8
EE17_C02;EE;17;C02;consumption_MEUR;966.8
EE18_C02;EE;18;C02;consumption_MEUR;1010.0
EE19_C02;EE;19;C02;consumption_MEUR;995.4
EE20_C02;EE;20;C02;consumption_MEUR;1059.1
EE21_C02;EE;21;C02;consumption_MEUR;1140.6
EE22_C02;EE;22;C02;consumption_MEUR;1222.7
EE23_C02;EE;23;C02;consumption_MEUR;1273.2
IE10_C02;IE;10;C02;consumption_MEUR;4718.9
IE11_C02;IE;11;C02;consumption_MEUR;4777.1
IE12_C02;IE;12;C02;consumption_MEUR;4671.8
IE13_C02;IE;13;C02;consumption_MEUR;4342.0
IE14_C02;IE;14;C02;consumption_MEUR;4459.1
IE15_C02;IE;15;C02;consumption_MEUR;4499.2
IE16_C02;IE;16;C02;consumption_MEUR;4740.6
IE17_C02;IE;17;C02;consumption_MEUR;4812.5
IE18_C02;IE;18;C02;consumption_MEUR;4695.6
IE19_C02;IE;19;C02;consumption_MEUR;5191.4
IE20_C02;IE;20;C02;consumption_MEUR;5809.9
IE21_C02;IE;21;C02;consumption_MEUR;5939.0
IE22_C02;IE;22;C02;consumption_MEUR;5592.0
IE23_C02;IE;23;C02;consumption_MEUR;5420.9
ES10_C02;ES;10;C02;consumption_MEUR;26589.0
ES11_C02;ES;11;C02;consumption_MEUR;26754.0
ES12_C02;ES;12;C02;consumption_MEUR;26605.0
ES13_C02;ES;13;C02;consumption_MEUR;26222.0
ES14_C02;ES;14;C02;consumption_MEUR;26590.0
ES15_C02;ES;15;C02;consumption_MEUR;26568.0
ES16_C02;ES;16;C02;consumption_MEUR;27915.0
ES17_C02;ES;17;C02;consumption_MEUR;28025.0
ES18_C02;ES;18;C02;consumption_MEUR;28179.0
ES19_C02;ES;19;C02;consumption_MEUR;28445.0
ES20_C02;ES;20;C02;consumption_MEUR;29392.0
ES21_C02;ES;21;C02;consumption_MEUR;29635.0
ES22_C02;ES;22;C02;consumption_MEUR;31304.0
ES23_C02;ES;23;C02;consumption_MEUR;32473.0
FR10_C02;FR;10;C02;consumption_MEUR;38229.7
FR11_C02;FR;11;C02;consumption_MEUR;39641.0
FR12_C02;FR;12;C02;consumption_MEUR;40917.1
FR13_C02;FR;13;C02;consumption_MEUR;42139.6
FR14_C02;FR;14;C02;consumption_MEUR;42842.5
FR15_C02;FR;15;C02;consumption_MEUR;43562.1
FR16_C02;FR;16;C02;consumption_MEUR;43694.2
FR17_C02;FR;17;C02;consumption_MEUR;44372.5
FR18_C02;FR;18;C02;consumption_MEUR;46252.5
FR19_C02;FR;19;C02;consumption_MEUR;47012.0
FR20_C02;FR;20;C02;consumption_MEUR;50922.2
FR21_C02;FR;21;C02;consumption_MEUR;51578.6
FR22_C02;FR;22;C02;consumption_MEUR;50235.2
FR23_C02;FR;23;C02;consumption_MEUR;51295.0
IT10_C02;IT;10;C02;consumption_MEUR;38995.6
IT11_C02;IT;11;C02;consumption_MEUR;39713.8
IT12_C02;IT;12;C02;consumption_MEUR;41654.0
IT13_C02;IT;13;C02;consumption_MEUR;41002.1
IT14_C02;IT;14;C02;consumption_MEUR;39398.8
IT15_C02;IT;15;C02;consumption_MEUR;41118.7
IT16_C02;IT;16;C02;consumption_MEUR;43033.1
IT17_C02;IT;17;C02;consumption_MEUR;44223.7
IT18_C02;IT;18;C02;consumption_MEUR;44946.5
IT19_C02;IT;19;C02;consumption_MEUR;45898.5
IT20_C02;IT;20;C02;consumption_MEUR;44866.6
IT21_C02;IT;21;C02;consumption_MEUR;46252.7
IT22_C02;IT;22;C02;consumption_MEUR;48533.3
IT23_C02;IT;23;C02;consumption_MEUR;50046.4
CY10_C02;CY;10;C02;consumption_MEUR;731.9
CY11_C02;CY;11;C02;consumption_MEUR;716.9
CY12_C02;CY;12;C02;consumption_MEUR;688.2
CY13_C02;CY;13;C02;consumption_MEUR;672.4
CY14_C02;CY;14;C02;consumption_MEUR;678.5
CY15_C02;CY;15;C02;consumption_MEUR;701.8
CY16_C02;CY;16;C02;consumption_MEUR;717.8
CY17_C02;CY;17;C02;consumption_MEUR;754.2
CY18_C02;CY;18;C02;consumption_MEUR;743.4
CY19_C02;CY;19;C02;consumption_MEUR;753.4
CY20_C02;CY;20;C02;consumption_MEUR;705.3
CY21_C02;CY;21;C02;consumption_MEUR;737.9
