indicator_ID;country_ID;year_ID;KPI_ID;value
CZ19_INC;CZ;19;INC;114169.0
CZ19_HVPI;CZ;19;HVPI;107.0
CZ19_INF;CZ;19;INF;2.6
CZ19_SAVN;CZ;19;SAVN;6620.0
CZ19_SAVR;CZ;19;SAVR;11.85
CZ20_CON;CZ;20;CON;101755.0
CZ20_INC;CZ;20;INC;115005.0
CZ20_HVPI;CZ;20;HVPI;111.0
CZ20_INF;CZ;20;INF;3.3
CZ20_SAVN;CZ;20;SAVN;14753.0
CZ20_SAVR;CZ;20;SAVR;18.83
CZ21_CON;CZ;21;CON;113927.0
CZ21_INC;CZ;21;INC;129673.0
CZ21_HVPI;CZ;21;HVPI;115.0
CZ21_INF;CZ;21;INF;3.3
CZ21_SAVN;CZ;21;SAVN;17335.0
CZ21_SAVR;CZ;21;SAVR;19.78
CZ22_CON;CZ;22;CON;136710.0
CZ22_INC;CZ;22;INC;153928.0
CZ22_HVPI;CZ;22;HVPI;132.0
CZ22_INF;CZ;22;INF;14.8
CZ22_SAVN;CZ;22;SAVN;18301.0
CZ22_SAVR;CZ;22;SAVR;18.47
CZ23_CON;CZ;23;CON;147829.0
CZ23_INC;CZ;23;INC;173483.0
CZ23_HVPI;CZ;23;HVPI;147.0
CZ23_INF;CZ;23;INF;12.0
CZ23_SAVN;CZ;23;SAVN;25706.0
CZ23_SAVR;CZ;23;SAVR;20.84
DK12_CON;DK;12;CON;118981.0
DK12_INC;DK;12;INC;108462.0
DK12_HVPI;DK;12;HVPI;98.0
DK12_INF;DK;12;INF;2.4
DK12_SAVN;DK;12;SAVN;-2487.0
DK12_SAVR;DK;12;SAVR;5.13
DK13_CON;DK;13;CON;121662.0
DK13_INC;DK;13;INC;110065.0
DK13_HVPI;DK;13;HVPI;99.0
DK13_INF;DK;13;INF;0.5
DK13_SAVN;DK;13;SAVN;-1821.0
DK13_SAVR;DK;13;SAVR;5.49
DK14_CON;DK;14;CON;122190.0
DK14_INC;DK;14;INC;110570.0
DK14_HVPI;DK;14;HVPI;99.0
DK14_INF;DK;14;INF;0.4
DK14_SAVN;DK;14;SAVN;-7530.0
DK14_SAVR;DK;14;SAVR;1.1
DK15_CON;DK;15;CON;124804.0
DK15_INC;DK;15;INC;115997.0
DK15_HVPI;DK;15;HVPI;100.0
DK15_INF;DK;15;INF;0.2
DK15_SAVN;DK;15;SAVN;2223.0
DK15_SAVR;DK;15;SAVR;8.23
DK16_CON;DK;16;CON;129224.0
DK16_INC;DK;16;INC;122638.0
DK16_HVPI;DK;16;HVPI;100.0
DK16_INF;DK;16;INF;0.0
DK16_SAVN;DK;16;SAVN;3285.0
DK16_SAVR;DK;16;SAVR;8.83
DK17_CON;DK;17;CON;134312.0
DK17_INC;DK;17;INC;126756.0
DK17_HVPI;DK;17;HVPI;101.0
DK17_INF;DK;17;INF;1.1
DK17_SAVN;DK;17;SAVN;4474.0
DK17_SAVR;DK;17;SAVR;9.35
DK18_CON;DK;18;CON;139824.0
DK18_INC;DK;18;INC;131773.0
DK18_HVPI;DK;18;HVPI;101.0
DK18_INF;DK;18;INF;0.7
DK18_SAVN;DK;18;SAVN;4913.0
DK18_SAVR;DK;18;SAVR;9.41
DK19_CON;DK;19;CON;143163.0
DK19_INC;DK;19;INC;135302.0
DK19_HVPI;DK;19;HVPI;102.0
DK19_INF;DK;19;INF;0.7
DK19_SAVN;DK;19;SAVN;2386.0
DK19_SAVR;DK;19;SAVR;7.89
DK20_CON;DK;20;CON;141662.0
DK20_INC;DK;20;INC;135512.0
DK20_HVPI;DK;20;HVPI;102.0
DK20_INF;DK;20;INF;0.3
DK20_SAVN;DK;20;SAVN;3880.0
DK20_SAVR;DK;20;SAVR;8.98
DK21_CON;DK;21;CON;153015.0
DK21_INC;DK;21;INC;139594.0
DK21_HVPI;DK;21;HVPI;104.0
DK21_INF;DK;21;INF;1.9
DK21_SAVN;DK;21;SAVN;-73.0
DK21_SAVR;DK;21;SAVR;6.43
DK22_CON;DK;22;CON;161043.0
DK22_INC;DK;22;INC;154412.0
DK22_HVPI;DK;22;HVPI;113.0
DK22_INF;DK;22;INF;8.5
DK22_SAVN;DK;22;SAVN;8619.0
DK22_SAVR;DK;22;SAVR;10.91
DK23_CON;DK;23;CON;161250.0
DK23_INC;DK;23;INC;161902.0
DK23_HVPI;DK;23;HVPI;117.0
DK23_INF;DK;23;INF;3.4
DK23_SAVN;DK;23;SAVN;14535.0
DK23_SAVR;DK;23;SAVR;14.12
DE12_CON;DE;12;CON;1503418.0
DE12_INC;DE;12;INC;1617417.0
DE12_HVPI;DE;12;HVPI;97.0
DE12_INF;DE;12;INF;2.2
DE12_SAVN;DE;12;SAVN;166119.0
DE12_SAVR;DE;12;SAVR;16.63
DE13_CON;DE;13;CON;1528847.0
DE13_INC;DE;13;INC;1639876.0
DE13_HVPI;DE;13;HVPI;98.0
DE13_INF;DE;13;INF;1.6
DE13_SAVN;DE;13;SAVN;162499.0
DE13_SAVR;DE;13;SAVR;16.5
DE14_CON;DE;14;CON;1560362.0
